split,batch_id,label,size,attacker_ratio,attacker_count,score,p_value,suspicious
heldout_benign,0,0,1500,0.0,0,-4.189610481262207e-05,0.8791208791208791,False
heldout_benign,1,0,1500,0.0,0,-2.6673078536987305e-05,0.7372627372627373,False
heldout_benign,2,0,1500,0.0,0,-2.123713493347168e-05,0.6803196803196803,False
heldout_benign,3,0,1500,0.0,0,-2.6804208755493163e-05,0.7392607392607392,False
heldout_benign,4,0,1500,0.0,0,-5.263090133666992e-06,0.5154845154845155,False
heldout_benign,5,0,1500,0.0,0,-2.472996711730957e-05,0.7142857142857143,False
heldout_benign,6,0,1500,0.0,0,-2.340078353881836e-05,0.7022977022977023,False
heldout_benign,7,0,1500,0.0,0,-2.181529998779297e-05,0.6853146853146853,False
heldout_benign,8,0,1500,0.0,0,-8.946657180786132e-06,0.5534465534465535,False
heldout_benign,9,0,1500,0.0,0,-1.786351203918457e-05,0.6443556443556444,False
heldout_benign,10,0,1500,0.0,0,1.1146068572998047e-05,0.35764235764235763,False
heldout_benign,11,0,1500,0.0,0,5.072355270385742e-06,0.41858141858141856,False
heldout_benign,12,0,1500,0.0,0,-2.333521842956543e-05,0.7002997002997003,False
heldout_benign,13,0,1500,0.0,0,4.9710273742675785e-06,0.41858141858141856,False
heldout_benign,14,0,1500,0.0,0,-3.319978713989258e-05,0.8121878121878122,False
heldout_benign,15,0,1500,0.0,0,-3.892779350280762e-05,0.8551448551448552,False
heldout_benign,16,0,1500,0.0,0,-1.5801191329956056e-05,0.6303696303696303,False
heldout_benign,17,0,1500,0.0,0,-2.1862983703613282e-05,0.6853146853146853,False
heldout_benign,18,0,1500,0.0,0,-2.0694732666015624e-05,0.6743256743256744,False
heldout_benign,19,0,1500,0.0,0,-3.192424774169922e-05,0.7922077922077922,False
heldout_benign,20,0,1500,0.0,0,-1.703500747680664e-05,0.6413586413586414,False
heldout_benign,21,0,1500,0.0,0,-4.172325134277344e-06,0.5074925074925075,False
heldout_benign,22,0,1500,0.0,0,-4.541873931884766e-06,0.5114885114885115,False
heldout_benign,23,0,1500,0.0,0,-3.3241510391235354e-05,0.8121878121878122,False
heldout_benign,24,0,1500,0.0,0,-2.2858381271362305e-05,0.6953046953046953,False
heldout_benign,25,0,1500,0.0,0,5.0067901611328125e-06,0.41858141858141856,False
heldout_benign,26,0,1500,0.0,0,-1.5234947204589843e-05,0.6233766233766234,False
heldout_benign,27,0,1500,0.0,0,-1.1205673217773438e-05,0.5814185814185814,False
heldout_benign,28,0,1500,0.0,0,-2.7370452880859374e-05,0.7452547452547452,False
heldout_benign,29,0,1500,0.0,0,-1.9508600234985352e-05,0.6583416583416584,False
heldout_benign,30,0,1500,0.0,0,-1.8602609634399415e-05,0.6473526473526473,False
heldout_benign,31,0,1500,0.0,0,-1.3035535812377929e-05,0.5944055944055944,False
heldout_benign,32,0,1500,0.0,0,-2.3096799850463867e-05,0.6973026973026973,False
heldout_benign,33,0,1500,0.0,0,-2.149343490600586e-05,0.6823176823176823,False
heldout_benign,34,0,1500,0.0,0,-4.9710273742675785e-06,0.5134865134865135,False
heldout_benign,35,0,1500,0.0,0,-4.1782855987548825e-06,0.5074925074925075,False
heldout_benign,36,0,1500,0.0,0,-2.0933151245117187e-05,0.6763236763236763,False
heldout_benign,37,0,1500,0.0,0,4.398822784423828e-06,0.4245754245754246,False
heldout_benign,38,0,1500,0.0,0,-2.9540061950683595e-05,0.7722277722277723,False
heldout_benign,39,0,1500,0.0,0,-6.777048110961914e-06,0.5334665334665335,False
heldout_benign,40,0,1500,0.0,0,-1.7011165618896483e-05,0.6413586413586414,False
heldout_benign,41,0,1500,0.0,0,-2.033710479736328e-05,0.6683316683316683,False
heldout_benign,42,0,1500,0.0,0,-1.874566078186035e-05,0.6483516483516484,False
heldout_benign,43,0,1500,0.0,0,-2.226829528808594e-05,0.6903096903096904,False
heldout_benign,44,0,1500,0.0,0,-2.085566520690918e-05,0.6753246753246753,False
heldout_benign,45,0,1500,0.0,0,-1.418590545654297e-06,0.4805194805194805,False
heldout_benign,46,0,1500,0.0,0,-8.726119995117188e-06,0.5524475524475524,False
heldout_benign,47,0,1500,0.0,0,-1.7273426055908204e-05,0.6423576423576424,False
heldout_benign,48,0,1500,0.0,0,-7.474422454833985e-06,0.5374625374625375,False
heldout_benign,49,0,1500,0.0,0,-2.143383026123047e-05,0.6813186813186813,False
attacker,0,1,1500,1.0,1500,0.07719985246658326,0.000999000999000999,True
attacker,1,1,1500,1.0,1500,0.07614256739616394,0.000999000999000999,True
attacker,2,1,1500,1.0,1500,0.0768775463104248,0.000999000999000999,True
attacker,3,1,1500,1.0,1500,0.07553693056106567,0.000999000999000999,True
attacker,4,1,1500,1.0,1500,0.07561174035072327,0.000999000999000999,True
attacker,5,1,1500,1.0,1500,0.07623952627182007,0.000999000999000999,True
attacker,6,1,1500,1.0,1500,0.07646980285644531,0.000999000999000999,True
attacker,7,1,1500,1.0,1500,0.07513543963432312,0.000999000999000999,True
attacker,8,1,1500,1.0,1500,0.07442724704742432,0.000999000999000999,True
attacker,9,1,1500,1.0,1500,0.07552159428596497,0.000999000999000999,True
attacker,10,1,1500,1.0,1500,0.07610569000244141,0.000999000999000999,True
attacker,11,1,1500,1.0,1500,0.07624715566635132,0.000999000999000999,True
attacker,12,1,1500,1.0,1500,0.07595828771591187,0.000999000999000999,True
attacker,13,1,1500,1.0,1500,0.07524205446243286,0.000999000999000999,True
attacker,14,1,1500,1.0,1500,0.07587497234344483,0.000999000999000999,True
attacker,15,1,1500,1.0,1500,0.07531005144119263,0.000999000999000999,True
attacker,16,1,1500,1.0,1500,0.07495414018630982,0.000999000999000999,True
attacker,17,1,1500,1.0,1500,0.07526220679283142,0.000999000999000999,True
attacker,18,1,1500,1.0,1500,0.07560218572616577,0.000999000999000999,True
attacker,19,1,1500,1.0,1500,0.07610991597175598,0.000999000999000999,True
attacker,20,1,1500,1.0,1500,0.07560321688652039,0.000999000999000999,True
attacker,21,1,1500,1.0,1500,0.07430763244628906,0.000999000999000999,True
attacker,22,1,1500,1.0,1500,0.07555235028266907,0.000999000999000999,True
attacker,23,1,1500,1.0,1500,0.07592529058456421,0.000999000999000999,True
attacker,24,1,1500,1.0,1500,0.07618875503540039,0.000999000999000999,True
attacker,25,1,1500,1.0,1500,0.07658076286315918,0.000999000999000999,True
attacker,26,1,1500,1.0,1500,0.07662503719329834,0.000999000999000999,True
attacker,27,1,1500,1.0,1500,0.07671781778335571,0.000999000999000999,True
attacker,28,1,1500,1.0,1500,0.07641937732696533,0.000999000999000999,True
attacker,29,1,1500,1.0,1500,0.07469518184661865,0.000999000999000999,True
attacker,30,1,1500,1.0,1500,0.07613707184791565,0.000999000999000999,True
attacker,31,1,1500,1.0,1500,0.07576699256896972,0.000999000999000999,True
attacker,32,1,1500,1.0,1500,0.07542603015899658,0.000999000999000999,True
attacker,33,1,1500,1.0,1500,0.07590625882148742,0.000999000999000999,True
attacker,34,1,1500,1.0,1500,0.07554513216018677,0.000999000999000999,True
attacker,35,1,1500,1.0,1500,0.07566565871238709,0.000999000999000999,True
attacker,36,1,1500,1.0,1500,0.0770493745803833,0.000999000999000999,True
attacker,37,1,1500,1.0,1500,0.07486019134521485,0.000999000999000999,True
attacker,38,1,1500,1.0,1500,0.07602356076240539,0.000999000999000999,True
attacker,39,1,1500,1.0,1500,0.0756971776485443,0.000999000999000999,True
attacker,40,1,1500,1.0,1500,0.07535973191261292,0.000999000999000999,True
attacker,41,1,1500,1.0,1500,0.07563742399215698,0.000999000999000999,True
attacker,42,1,1500,1.0,1500,0.07529403567314148,0.000999000999000999,True
attacker,43,1,1500,1.0,1500,0.07598045468330383,0.000999000999000999,True
attacker,44,1,1500,1.0,1500,0.07514317631721497,0.000999000999000999,True
attacker,45,1,1500,1.0,1500,0.07537493109703064,0.000999000999000999,True
attacker,46,1,1500,1.0,1500,0.07681993842124939,0.000999000999000999,True
attacker,47,1,1500,1.0,1500,0.07515568137168885,0.000999000999000999,True
attacker,48,1,1500,1.0,1500,0.07545691728591919,0.000999000999000999,True
attacker,49,1,1500,1.0,1500,0.07677520513534546,0.000999000999000999,True
mixed_0.05,0,1,1500,0.05,75,0.0001930534839630127,0.000999000999000999,True
mixed_0.05,1,1,1500,0.05,75,0.00015615224838256837,0.002997002997002997,True
mixed_0.05,2,1,1500,0.05,75,0.00019567012786865235,0.000999000999000999,True
mixed_0.05,3,1,1500,0.05,75,0.00019396543502807616,0.000999000999000999,True
mixed_0.05,4,1,1500,0.05,75,0.00015101432800292968,0.004995004995004995,True
mixed_0.05,5,1,1500,0.05,75,0.00014355778694152832,0.004995004995004995,True
mixed_0.05,6,1,1500,0.05,75,0.00018094778060913087,0.000999000999000999,True
mixed_0.05,7,1,1500,0.05,75,0.00017768144607543945,0.001998001998001998,True
mixed_0.05,8,1,1500,0.05,75,0.00017801523208618164,0.001998001998001998,True
mixed_0.05,9,1,1500,0.05,75,0.00020787715911865234,0.000999000999000999,True
mixed_0.05,10,1,1500,0.05,75,0.00020349621772766113,0.000999000999000999,True
mixed_0.05,11,1,1500,0.05,75,0.00016334056854248047,0.002997002997002997,True
